type,time,latitude,longitude,altitude (m),name,desc
T,2019-07-24 07:09:00,49.282977171,19.968815697,901.0,Zakopane Spacerowanie,
T,2019-07-24 07:09:01,49.282974824,19.968834808,901.0,,
T,2019-07-24 07:09:02,49.282976165,19.968855847,901.0,,
T,2019-07-24 07:09:03,49.282980189,19.968874371,901.0,,
T,2019-07-24 07:09:04,49.282983290,19.968890296,901.0,,
T,2019-07-24 07:09:05,49.282977423,19.968903037,901.0,,
T,2019-07-24 07:09:06,49.282977004,19.968920052,901.0,,
T,2019-07-24 07:09:07,49.282979099,19.968936900,901.0,,
T,2019-07-24 07:09:08,49.282973483,19.968953831,901.0,,
T,2019-07-24 07:09:09,49.282974657,19.968969673,901.0,,
T,2019-07-24 07:09:11,49.282976920,19.969004458,901.0,,
T,2019-07-24 07:09:14,49.282982452,19.969056007,901.2,,
T,2019-07-24 07:09:16,49.282988738,19.969095318,901.2,,
T,2019-07-24 07:09:23,49.283010447,19.969224315,901.8,,
T,2019-07-24 07:09:24,49.283011118,19.969235463,901.8,,
T,2019-07-24 07:09:25,49.283009525,19.969244180,902.0,,
T,2019-07-24 07:09:26,49.283016482,19.969254574,902.0,,
T,2019-07-24 07:09:28,49.283006005,19.969278378,902.0,,
T,2019-07-24 07:09:30,49.283005167,19.969301680,902.2,,
T,2019-07-24 07:09:31,49.283011034,19.969316432,902.2,,
T,2019-07-24 07:09:32,49.283019081,19.969332358,902.4,,
T,2019-07-24 07:09:34,49.283028552,19.969373010,902.8,,
T,2019-07-24 07:09:42,49.283015812,19.969524806,903.8,,
T,2019-07-24 07:09:47,49.282969795,19.969583228,904.0,,
T,2019-07-24 07:09:49,49.282965437,19.969602842,904.2,,
T,2019-07-24 07:09:50,49.282964347,19.969615750,904.2,,
T,2019-07-24 07:09:51,49.282964934,19.969631759,904.4,,
T,2019-07-24 07:09:54,49.282940459,19.969666125,904.6,,
T,2019-07-24 07:09:55,49.282923359,19.969667885,904.6,,
T,2019-07-24 07:09:57,49.282900225,19.969675764,904.8,,
T,2019-07-24 07:10:00,49.282888994,19.969719853,905.0,,
T,2019-07-24 07:10:04,49.282859154,19.969763942,905.4,,
T,2019-07-24 07:10:06,49.282849599,19.969775928,905.4,,
T,2019-07-24 07:10:10,49.282808192,19.969796464,905.6,,
T,2019-07-24 07:10:12,49.282787489,19.969818341,905.8,,
T,2019-07-24 07:10:16,49.282748010,19.969856311,906.0,,
T,2019-07-24 07:10:18,49.282720434,19.969878690,906.2,,
T,2019-07-24 07:10:21,49.282696210,19.969898639,906.0,,
T,2019-07-24 07:10:23,49.282679949,19.969924372,906.2,,
T,2019-07-24 07:10:25,49.282662263,19.969950691,906.2,,
T,2019-07-24 07:10:26,49.282652456,19.969964353,906.2,,
T,2019-07-24 07:10:28,49.282650948,19.970001401,906.2,,
T,2019-07-24 07:10:30,49.282628652,19.970025457,906.4,,
T,2019-07-24 07:10:32,49.282618091,19.970061583,906.4,,
T,2019-07-24 07:10:34,49.282586742,19.970101984,906.4,,
T,2019-07-24 07:10:40,49.282476101,19.970124699,906.2,,
T,2019-07-24 07:10:41,49.282460762,19.970136601,906.0,,
T,2019-07-24 07:10:44,49.282416170,19.970174152,906.0,,
T,2019-07-24 07:10:48,49.282390857,19.970243135,906.2,,
T,2019-07-24 07:10:50,49.282385912,19.970279513,906.4,,
T,2019-07-24 07:10:54,49.282368813,19.970334414,906.4,,
T,2019-07-24 07:10:56,49.282350959,19.970350508,906.4,,
T,2019-07-24 07:10:57,49.282338303,19.970354112,906.4,,
T,2019-07-24 07:11:00,49.282328915,19.970377414,906.4,,
T,2019-07-24 07:11:03,49.282325730,19.970405912,906.6,,
T,2019-07-24 07:11:05,49.282320701,19.970430220,906.8,,
T,2019-07-24 07:11:06,49.282312570,19.970444134,906.8,,
T,2019-07-24 07:11:12,49.282232774,19.970492497,906.8,,
T,2019-07-24 07:11:14,49.282233110,19.970515799,907.0,,
T,2019-07-24 07:11:16,49.282226237,19.970536754,907.2,,
T,2019-07-24 07:11:18,49.282207880,19.970555948,907.2,,
T,2019-07-24 07:11:20,49.282188183,19.970576148,907.4,,
T,2019-07-24 07:11:22,49.282160942,19.970601294,907.4,,
T,2019-07-24 07:11:29,49.282087097,19.970692405,907.6,,
T,2019-07-24 07:11:32,49.282042924,19.970708918,907.4,,
T,2019-07-24 07:11:34,49.282044936,19.970730711,907.4,,
T,2019-07-24 07:11:36,49.282035548,19.970753426,907.6,,
T,2019-07-24 07:11:38,49.282016102,19.970771363,907.6,,
T,2019-07-24 07:11:40,49.281996572,19.970792737,907.6,,
T,2019-07-24 07:11:47,49.281911915,19.970860714,907.4,,
T,2019-07-24 07:11:51,49.281886769,19.970909078,907.6,,
T,2019-07-24 07:11:54,49.281850308,19.970936486,908.0,,
T,2019-07-24 07:11:57,49.281835724,19.970965739,908.0,,
T,2019-07-24 07:11:59,49.281826923,19.970991556,908.2,,
T,2019-07-24 07:12:00,49.281819630,19.970999938,908.2,,
T,2019-07-24 07:12:04,49.281781325,19.971026340,908.4,,
T,2019-07-24 07:12:09,49.281750647,19.971079063,908.8,,
T,2019-07-24 07:12:10,49.281740170,19.971086020,908.8,,
T,2019-07-24 07:12:13,49.281708486,19.971129773,909.2,,
T,2019-07-24 07:12:16,49.281653669,19.971152907,909.4,,
T,2019-07-24 07:12:20,49.281571526,19.971158775,909.8,,
T,2019-07-24 07:12:22,49.281545626,19.971167408,910.2,,
T,2019-07-24 07:12:23,49.281527773,19.971171012,910.4,,
T,2019-07-24 07:12:29,49.281483768,19.971279725,911.6,,
T,2019-07-24 07:12:30,49.281472620,19.971292634,911.8,,
T,2019-07-24 07:12:37,49.281423502,19.971375950,913.0,,
T,2019-07-24 07:12:39,49.281398524,19.971403107,913.4,,
T,2019-07-24 07:12:41,49.281380670,19.971432360,913.8,,
T,2019-07-24 07:12:43,49.281375390,19.971466642,914.2,,
T,2019-07-24 07:12:44,49.281380083,19.971490530,914.2,,
T,2019-07-24 07:12:45,49.281373713,19.971505953,914.4,,
T,2019-07-24 07:12:47,49.281340102,19.971519951,914.8,,
T,2019-07-24 07:12:49,49.281326020,19.971546941,915.2,,
T,2019-07-24 07:12:50,49.281326272,19.971556831,915.2,,
T,2019-07-24 07:12:53,49.281276735,19.971565800,915.8,,
T,2019-07-24 07:12:54,49.281266676,19.971563285,915.8,,
T,2019-07-24 07:12:57,49.281227533,19.971560184,916.2,,
T,2019-07-24 07:12:58,49.281227197,19.971565884,916.2,,
T,2019-07-24 07:13:00,49.281229796,19.971581474,916.2,,
T,2019-07-24 07:13:02,49.281216217,19.971582312,916.4,,
T,2019-07-24 07:13:08,49.281178499,19.971566135,916.8,,
T,2019-07-24 07:13:10,49.281159053,19.971556999,917.0,,
T,2019-07-24 07:13:15,49.281119993,19.971528668,917.2,,
T,2019-07-24 07:13:17,49.281115970,19.971523387,917.4,,
T,2019-07-24 07:13:18,49.281105492,19.971520705,917.4,,
T,2019-07-24 07:13:20,49.281088812,19.971525148,917.6,,
T,2019-07-24 07:13:21,49.281079592,19.971525064,917.8,,
T,2019-07-24 07:13:24,49.281045226,19.971514000,918.0,,
T,2019-07-24 07:13:27,49.281017566,19.971506959,918.0,,
T,2019-07-24 07:13:29,49.281012034,19.971507797,918.0,,
T,2019-07-24 07:13:36,49.280940453,19.971493799,918.4,,
T,2019-07-24 07:13:41,49.280872727,19.971474772,918.4,,
T,2019-07-24 07:13:44,49.280845653,19.971459685,918.6,,
T,2019-07-24 07:13:46,49.280832577,19.971451806,918.6,,
T,2019-07-24 07:13:48,49.280808019,19.971452896,918.6,,
T,2019-07-24 07:13:53,49.280740963,19.971415261,918.8,,
T,2019-07-24 07:13:54,49.280727049,19.971407298,919.0,,
T,2019-07-24 07:14:00,49.280640800,19.971374944,919.4,,
T,2019-07-24 07:14:06,49.280539714,19.971345859,920.2,,
T,2019-07-24 07:14:08,49.280511132,19.971330184,920.4,,
T,2019-07-24 07:14:12,49.280502247,19.971309397,920.4,,
T,2019-07-24 07:14:14,49.280518759,19.971293388,920.2,,
T,2019-07-24 07:14:16,49.280490009,19.971277127,920.4,,
T,2019-07-24 07:14:21,49.280407196,19.971245527,921.2,,
T,2019-07-24 07:14:28,49.280322790,19.971247371,922.6,,
T,2019-07-24 07:14:33,49.280252382,19.971223567,923.4,,
T,2019-07-24 07:14:34,49.280238887,19.971223148,923.6,,
T,2019-07-24 07:14:35,49.280238887,19.971222896,923.6,,
T,2019-07-24 07:14:38,49.280252969,19.971231278,923.4,,
T,2019-07-24 07:14:39,49.280256070,19.971233457,923.4,,
T,2019-07-24 07:14:42,49.280260932,19.971241672,923.4,,
T,2019-07-24 07:14:44,49.280255986,19.971246952,923.4,,
T,2019-07-24 07:14:46,49.280246180,19.971252233,923.6,,
T,2019-07-24 07:14:50,49.280224135,19.971268242,924.0,,
T,2019-07-24 07:14:52,49.280220782,19.971265895,924.0,,
T,2019-07-24 07:14:59,49.280171413,19.971225327,924.6,,
T,2019-07-24 07:15:06,49.280063370,19.971206803,926.6,,
T,2019-07-24 07:15:13,49.280028250,19.971202360,927.2,,
T,2019-07-24 07:15:18,49.279975276,19.971191715,928.0,,
T,2019-07-24 07:15:19,49.279970247,19.971193057,928.0,,
T,2019-07-24 07:15:26,49.279885255,19.971189704,929.4,,
T,2019-07-24 07:15:27,49.279878046,19.971190207,929.6,,
T,2019-07-24 07:15:33,49.279808812,19.971183417,930.8,,
T,2019-07-24 07:15:37,49.279763466,19.971179562,931.4,,
T,2019-07-24 07:15:41,49.279739074,19.971175538,931.8,,
T,2019-07-24 07:15:45,49.279717198,19.971167743,932.2,,
T,2019-07-24 07:15:47,49.279691884,19.971161541,932.6,,
T,2019-07-24 07:15:50,49.279664056,19.971163971,933.2,,
T,2019-07-24 07:15:53,49.279635474,19.971163301,933.8,,
T,2019-07-24 07:15:56,49.279620051,19.971156344,934.0,,
T,2019-07-24 07:15:59,49.279640252,19.971147375,933.4,,
T,2019-07-24 07:16:00,49.279643018,19.971135808,933.2,,
T,2019-07-24 07:16:01,49.279645197,19.971125666,933.0,,
T,2019-07-24 07:16:05,49.279692722,19.971110830,932.0,,
T,2019-07-24 07:16:06,49.279711330,19.971114099,931.8,,
T,2019-07-24 07:16:07,49.279719628,19.971117536,931.6,,
T,2019-07-24 07:16:11,49.279774781,19.971127678,930.8,,
T,2019-07-24 07:16:19,49.279899672,19.971156847,929.0,,
T,2019-07-24 07:16:20,49.279920375,19.971164474,928.8,,
T,2019-07-24 07:16:22,49.279957591,19.971147124,928.0,,
T,2019-07-24 07:16:23,49.279957591,19.971147124,928.0,,
T,2019-07-24 07:16:31,49.280076949,19.971186267,926.2,,
T,2019-07-24 07:16:32,49.280082481,19.971195403,926.0,,
T,2019-07-24 07:16:42,49.280171329,19.971204456,924.6,,
T,2019-07-24 07:16:47,49.280220028,19.971206468,923.8,,
T,2019-07-24 07:16:54,49.280280545,19.971274445,923.4,,
T,2019-07-24 07:16:55,49.280292531,19.971294813,923.2,,
T,2019-07-24 07:16:57,49.280300578,19.971334795,923.4,,
T,2019-07-24 07:16:59,49.280289179,19.971366227,923.6,,
T,2019-07-24 07:17:00,49.280284652,19.971385421,923.8,,
T,2019-07-24 07:17:01,49.280276354,19.971401095,924.0,,
T,2019-07-24 07:17:06,49.280247269,19.971460607,924.4,,
T,2019-07-24 07:17:07,49.280251125,19.971480221,924.4,,
T,2019-07-24 07:17:13,49.280247018,19.971586838,924.8,,
T,2019-07-24 07:17:15,49.280226566,19.971602680,925.2,,
T,2019-07-24 07:17:18,49.280202510,19.971644338,925.8,,
T,2019-07-24 07:17:21,49.280191613,19.971702509,926.2,,
T,2019-07-24 07:17:24,49.280174095,19.971750369,926.6,,
T,2019-07-24 07:17:26,49.280151380,19.971772246,927.0,,
T,2019-07-24 07:17:27,49.280149285,19.971788675,927.2,,
T,2019-07-24 07:17:28,49.280154565,19.971810551,927.2,,
T,2019-07-24 07:17:33,49.280141657,19.971860424,927.6,,
T,2019-07-24 07:17:34,49.280138304,19.971870985,927.6,,
T,2019-07-24 07:17:36,49.280136712,19.971888168,927.8,,
T,2019-07-24 07:17:38,49.280134616,19.971902668,927.8,,
T,2019-07-24 07:17:39,49.280139059,19.971917840,927.8,,
T,2019-07-24 07:17:42,49.280106034,19.971948517,928.6,,
T,2019-07-24 07:17:43,49.280099999,19.971955558,928.6,,
T,2019-07-24 07:17:46,49.280080302,19.972007861,929.4,,
T,2019-07-24 07:17:49,49.280060772,19.972052202,930.2,,
T,2019-07-24 07:17:51,49.280045601,19.972076593,930.8,,
T,2019-07-24 07:17:53,49.280044092,19.972102074,931.0,,
T,2019-07-24 07:17:55,49.280043254,19.972116491,931.0,,
T,2019-07-24 07:17:56,49.280045768,19.972129734,931.0,,
T,2019-07-24 07:18:00,49.280056665,19.972212212,931.4,,
T,2019-07-24 07:18:03,49.280012241,19.972222606,932.4,,
T,2019-07-24 07:18:05,49.280005619,19.972266108,933.0,,
T,2019-07-24 07:18:06,49.279997908,19.972281447,933.2,,
T,2019-07-24 07:18:08,49.279985921,19.972313466,933.6,,
T,2019-07-24 07:18:10,49.279974103,19.972334253,934.2,,
T,2019-07-24 07:18:12,49.279967314,19.972360488,934.4,,
T,2019-07-24 07:18:14,49.279951891,19.972374653,934.8,,
T,2019-07-24 07:18:15,49.279948622,19.972390328,935.0,,
T,2019-07-24 07:18:17,49.279935965,19.972412372,935.2,,
T,2019-07-24 07:18:18,49.279928086,19.972421005,935.6,,
T,2019-07-24 07:18:20,49.279926913,19.972449504,935.6,,
T,2019-07-24 07:18:24,49.279918112,19.972515134,936.2,,
T,2019-07-24 07:18:29,49.279910065,19.972613202,936.6,,
T,2019-07-24 07:18:30,49.279912999,19.972631475,936.6,,
T,2019-07-24 07:18:31,49.279911909,19.972653184,936.8,,
T,2019-07-24 07:18:34,49.279910401,19.972715210,937.0,,
T,2019-07-24 07:18:35,49.279914591,19.972742032,937.0,,
T,2019-07-24 07:18:37,49.279920291,19.972787462,937.0,,
T,2019-07-24 07:18:40,49.279915681,19.972838676,937.4,,
T,2019-07-24 07:18:42,49.279904701,19.972867090,937.8,,
T,2019-07-24 07:18:43,49.279914759,19.972888883,937.6,,
T,2019-07-24 07:18:44,49.279918363,19.972905144,937.4,,
T,2019-07-24 07:18:46,49.279910736,19.972916292,937.6,,
T,2019-07-24 07:18:47,49.279896235,19.972925093,937.8,,
T,2019-07-24 07:18:49,49.279887937,19.972946467,938.0,,
T,2019-07-24 07:18:50,49.279886428,19.972960213,938.0,,
T,2019-07-24 07:18:53,49.279888943,19.973004051,937.8,,
T,2019-07-24 07:18:55,49.279904868,19.973035902,937.6,,
T,2019-07-24 07:19:02,49.279910736,19.973146040,937.6,,
T,2019-07-24 07:19:03,49.279902605,19.973162049,937.6,,
T,2019-07-24 07:19:06,49.279896487,19.973216029,938.0,,
T,2019-07-24 07:19:08,49.279889027,19.973246958,938.2,,
T,2019-07-24 07:19:14,49.279862875,19.973337064,939.2,,
T,2019-07-24 07:19:15,49.279857175,19.973350223,939.4,,
T,2019-07-24 07:19:23,49.279850889,19.973488441,940.4,,
T,2019-07-24 07:19:32,49.279864384,19.973632190,940.4,,
T,2019-07-24 07:19:33,49.279873352,19.973649289,940.4,,
T,2019-07-24 07:19:36,49.279888356,19.973698324,940.2,,
T,2019-07-24 07:19:38,49.279887602,19.973722547,940.4,,
T,2019-07-24 07:19:40,49.279901516,19.973761188,940.2,,
T,2019-07-24 07:19:42,49.279922470,19.973797565,939.6,,
T,2019-07-24 07:19:47,49.279947449,19.973902507,939.4,,
T,2019-07-24 07:19:48,49.279957926,19.973918265,939.2,,
T,2019-07-24 07:19:49,49.279968236,19.973937543,939.2,,
T,2019-07-24 07:19:51,49.279984329,19.973975765,939.0,,
T,2019-07-24 07:19:53,49.279992878,19.974006945,939.0,,
T,2019-07-24 07:19:54,49.279980054,19.974011723,939.2,,
T,2019-07-24 07:19:57,49.279970499,19.974074000,939.6,,
T,2019-07-24 07:20:00,49.280000506,19.974130243,939.2,,
T,2019-07-24 07:20:02,49.280013582,19.974156646,939.0,,
T,2019-07-24 07:20:03,49.280012744,19.974166788,939.0,,
T,2019-07-24 07:20:06,49.280028669,19.974230658,938.8,,
T,2019-07-24 07:20:08,49.280035459,19.974259827,938.6,,
T,2019-07-24 07:20:11,49.280051636,19.974301653,938.4,,
T,2019-07-24 07:20:15,49.280070914,19.974360242,938.6,,
T,2019-07-24 07:20:16,49.280076195,19.974374073,938.6,,
T,2019-07-24 07:20:20,49.280092036,19.974433249,938.8,,
T,2019-07-24 07:20:23,49.280087259,19.974494101,939.2,,
T,2019-07-24 07:20:25,49.280092623,19.974537101,939.2,,
T,2019-07-24 07:20:30,49.280100670,19.974610023,939.4,,
T,2019-07-24 07:20:32,49.280111147,19.974645060,939.4,,
T,2019-07-24 07:20:36,49.280147608,19.974725526,939.2,,
T,2019-07-24 07:20:43,49.280208796,19.974843627,939.0,,
T,2019-07-24 07:20:44,49.280206701,19.974858882,939.2,,
T,2019-07-24 07:20:46,49.280204941,19.974887297,939.2,,
T,2019-07-24 07:20:49,49.280216256,19.974934990,939.2,,
T,2019-07-24 07:20:55,49.280254729,19.975026101,939.4,,
T,2019-07-24 07:20:57,49.280270068,19.975067507,939.6,,
T,2019-07-24 07:20:59,49.280270822,19.975093240,939.6,,
T,2019-07-24 07:21:00,49.280271158,19.975111429,939.8,,
T,2019-07-24 07:21:02,49.280269900,19.975145375,939.8,,
T,2019-07-24 07:21:04,49.280287670,19.975182004,939.8,,
T,2019-07-24 07:21:06,49.280312900,19.975224752,939.6,,
T,2019-07-24 07:21:08,49.280323880,19.975267667,939.6,,
T,2019-07-24 07:21:09,49.280331507,19.975288706,939.6,,
T,2019-07-24 07:21:11,49.280327819,19.975309828,939.6,,
T,2019-07-24 07:21:14,49.280349277,19.975339836,939.6,,
T,2019-07-24 07:21:15,49.280354474,19.975345032,939.6,,
T,2019-07-24 07:21:18,49.280375931,19.975355174,939.4,,
T,2019-07-24 07:21:20,49.280389594,19.975359784,939.4,,
T,2019-07-24 07:21:23,49.280400155,19.975367999,939.4,,
T,2019-07-24 07:21:25,49.280402083,19.975384763,939.4,,
T,2019-07-24 07:21:27,49.280410213,19.975417368,939.4,,
T,2019-07-24 07:21:28,49.280406022,19.975421894,939.4,,
T,2019-07-24 07:21:29,49.280401412,19.975423822,939.4,,
T,2019-07-24 07:21:32,49.280390181,19.975414015,939.4,,
T,2019-07-24 07:21:35,49.280372746,19.975406891,939.4,,
T,2019-07-24 07:21:37,49.280351289,19.975392893,939.6,,
T,2019-07-24 07:21:38,49.280351289,19.975392893,939.6,,
T,2019-07-24 07:21:43,49.280348103,19.975401191,939.6,,
T,2019-07-24 07:21:44,49.280340895,19.975396246,939.6,,
T,2019-07-24 07:21:48,49.280309547,19.975360371,939.6,,
T,2019-07-24 07:21:51,49.280304350,19.975364143,939.6,,
T,2019-07-24 07:21:57,49.280202594,19.975300441,940.2,,
T,2019-07-24 07:22:03,49.280192787,19.975353582,940.2,,
T,2019-07-24 07:22:10,49.280162277,19.975393647,940.6,,
T,2019-07-24 07:22:15,49.280155236,19.975399012,940.6,,
T,2019-07-24 07:22:24,49.280149117,19.975399179,940.8,,
T,2019-07-24 07:22:30,49.280148866,19.975408399,940.8,,
T,2019-07-24 07:22:33,49.280138221,19.975480232,940.8,,
T,2019-07-24 07:22:34,49.280137885,19.975509569,940.8,,
T,2019-07-24 07:22:38,49.280125732,19.975617025,941.0,,
T,2019-07-24 07:22:39,49.280122463,19.975649463,941.2,,
T,2019-07-24 07:22:40,49.280127659,19.975673268,941.2,,
T,2019-07-24 07:22:43,49.280162361,19.975725655,940.8,,
T,2019-07-24 07:22:45,49.280165881,19.975758595,940.8,,
T,2019-07-24 07:22:47,49.280184237,19.975806205,940.4,,
T,2019-07-24 07:22:50,49.280201169,19.975867476,940.2,,
T,2019-07-24 07:22:51,49.280207790,19.975889437,940.2,,
T,2019-07-24 07:22:55,49.280198403,19.975960515,940.4,,
T,2019-07-24 07:22:56,49.280201253,19.975983147,940.2,,
T,2019-07-24 07:22:57,49.280202426,19.976002173,940.0,,
T,2019-07-24 07:22:59,49.280216508,19.976029247,939.6,,
T,2019-07-24 07:23:00,49.280231595,19.976042323,939.4,,
T,2019-07-24 07:23:03,49.280278198,19.976091105,938.6,,
T,2019-07-24 07:23:04,49.280282222,19.976107869,938.6,,
T,2019-07-24 07:23:08,49.280261938,19.976183139,938.2,,
T,2019-07-24 07:23:09,49.280263111,19.976202082,938.0,,
T,2019-07-24 07:23:14,49.280228494,19.976294450,938.0,,
T,2019-07-24 07:23:16,49.280219693,19.976325631,938.0,,
T,2019-07-24 07:23:18,49.280221034,19.976361338,938.0,,
T,2019-07-24 07:23:19,49.280225895,19.976376509,938.0,,
T,2019-07-24 07:23:20,49.280236708,19.976397045,937.8,,
T,2019-07-24 07:23:23,49.280245593,19.976431746,937.8,,
T,2019-07-24 07:23:24,49.280244252,19.976444319,937.8,,
T,2019-07-24 07:23:29,49.280238887,19.976529144,937.8,,
T,2019-07-24 07:23:30,49.280244336,19.976544315,937.8,,
T,2019-07-24 07:23:33,49.280250119,19.976593517,937.8,,
T,2019-07-24 07:23:35,49.280254561,19.976623943,937.8,,
T,2019-07-24 07:23:36,49.280256573,19.976635175,937.8,,
T,2019-07-24 07:23:41,49.280219357,19.976710193,938.0,,
T,2019-07-24 07:23:44,49.280206114,19.976763418,938.2,,
T,2019-07-24 07:23:47,49.280160684,19.976791330,939.2,,
T,2019-07-24 07:23:48,49.280164372,19.976812536,939.2,,
T,2019-07-24 07:23:50,49.280162696,19.976850841,939.8,,
T,2019-07-24 07:23:51,49.280149285,19.976860061,940.2,,
T,2019-07-24 07:23:54,49.280121792,19.976897947,941.2,,
T,2019-07-24 07:23:56,49.280139646,19.976944802,941.2,,
T,2019-07-24 07:23:57,49.280145764,19.976967098,941.4,,
T,2019-07-24 07:23:59,49.280142412,19.977006996,941.8,,
T,2019-07-24 07:24:00,49.280137802,19.977025352,942.2,,
T,2019-07-24 07:24:01,49.280138221,19.977043793,942.4,,
T,2019-07-24 07:24:02,49.280138388,19.977058293,942.4,,
T,2019-07-24 07:24:03,49.280145345,19.977074470,942.6,,
T,2019-07-24 07:24:05,49.280156493,19.977106741,942.6,,
T,2019-07-24 07:24:07,49.280162780,19.977134485,942.6,,
T,2019-07-24 07:24:08,49.280163450,19.977149656,942.6,,
T,2019-07-24 07:24:09,49.280176274,19.977170778,942.6,,
T,2019-07-24 07:24:13,49.280210556,19.977260130,942.4,,
T,2019-07-24 07:24:14,49.280210473,19.977275552,942.6,,
T,2019-07-24 07:24:15,49.280215669,19.977290472,942.6,,
T,2019-07-24 07:24:18,49.280229667,19.977337746,942.6,,
T,2019-07-24 07:24:20,49.280243414,19.977373704,942.6,,
T,2019-07-24 07:24:21,49.280250454,19.977391558,942.6,,
T,2019-07-24 07:24:23,49.280231930,19.977422738,942.8,,
T,2019-07-24 07:24:26,49.280195218,19.977435227,943.6,,
T,2019-07-24 07:24:31,49.280175855,19.977414021,944.0,,
T,2019-07-24 07:24:32,49.280172335,19.977404550,944.2,,
T,2019-07-24 07:24:34,49.280117350,19.977363897,945.6,,
T,2019-07-24 07:24:35,49.280081391,19.977342188,946.2,,
T,2019-07-24 07:24:37,49.280048618,19.977326766,947.0,,
T,2019-07-24 07:24:38,49.280025987,19.977305811,947.2,,
T,2019-07-24 07:24:39,49.280018946,19.977307739,947.4,,
T,2019-07-24 07:24:42,49.280054402,19.977360629,947.0,,
T,2019-07-24 07:24:44,49.280073512,19.977392983,946.6,,
T,2019-07-24 07:24:45,49.280052390,19.977391306,947.2,,
T,2019-07-24 07:24:46,49.280025233,19.977387870,947.8,,
T,2019-07-24 07:24:49,49.279987682,19.977398934,948.8,,
T,2019-07-24 07:24:50,49.280006373,19.977405807,948.2,,
T,2019-07-24 07:24:52,49.280027244,19.977436149,947.8,,
T,2019-07-24 07:24:55,49.280002685,19.977440927,948.6,,
T,2019-07-24 07:24:59,49.280012492,19.977462050,948.6,,
T,2019-07-24 07:25:02,49.280027496,19.977497002,948.4,,
T,2019-07-24 07:25:03,49.280034034,19.977515358,948.4,,
T,2019-07-24 07:25:04,49.280046523,19.977552323,948.2,,
T,2019-07-24 07:25:06,49.280064963,19.977571936,947.8,,
T,2019-07-24 07:25:07,49.280075775,19.977594651,947.6,,
T,2019-07-24 07:25:09,49.280075524,19.977621725,948.0,,
T,2019-07-24 07:25:10,49.280079631,19.977634717,948.0,,
T,2019-07-24 07:25:12,49.280086337,19.977661707,947.6,,
T,2019-07-24 07:25:14,49.280101424,19.977685511,947.2,,
T,2019-07-24 07:25:15,49.280102095,19.977698671,947.2,,
T,2019-07-24 07:25:16,49.280110644,19.977720464,946.8,,
T,2019-07-24 07:25:22,49.280169820,19.977852898,944.6,,
T,2019-07-24 07:25:23,49.280173173,19.977870416,944.6,,
T,2019-07-24 07:25:25,49.280170910,19.977895897,944.6,,
T,2019-07-24 07:25:26,49.280166551,19.977913164,944.6,,
T,2019-07-24 07:25:28,49.280152386,19.977949373,945.0,,
T,2019-07-24 07:25:29,49.280156577,19.977956414,945.0,,
T,2019-07-24 07:25:31,49.280162025,19.977988852,944.8,,
T,2019-07-24 07:25:32,49.280165462,19.978002096,944.6,,
T,2019-07-24 07:25:34,49.280162277,19.978028834,944.8,,
T,2019-07-24 07:25:36,49.280152889,19.978044676,945.0,,
T,2019-07-24 07:25:40,49.280148782,19.978033109,945.2,,
T,2019-07-24 07:25:42,49.280168647,19.978048364,944.6,,
T,2019-07-24 07:25:44,49.280177783,19.978074767,944.2,,
T,2019-07-24 07:25:47,49.280186249,19.978109803,944.0,,
T,2019-07-24 07:25:50,49.280200414,19.978157999,943.6,,
T,2019-07-24 07:25:51,49.280200498,19.978169147,943.6,,
T,2019-07-24 07:25:52,49.280195301,19.978182055,943.6,,
T,2019-07-24 07:25:54,49.280190608,19.978208710,943.8,,
T,2019-07-24 07:25:58,49.280190524,19.978283560,943.6,,
T,2019-07-24 07:25:59,49.280188512,19.978298564,943.6,,
T,2019-07-24 07:26:00,49.280194128,19.978316082,943.2,,
T,2019-07-24 07:26:03,49.280226482,19.978356902,942.2,,
T,2019-07-24 07:26:05,49.280253723,19.978372743,941.8,,
T,2019-07-24 07:26:07,49.280264536,19.978389004,941.6,,
T,2019-07-24 07:26:11,49.280284736,19.978452288,941.0,,
T,2019-07-24 07:26:12,49.280279288,19.978462597,941.2,,
T,2019-07-24 07:26:13,49.280282473,19.978477601,941.0,,
T,2019-07-24 07:26:14,49.280284652,19.978490509,941.2,,
T,2019-07-24 07:26:15,49.280289011,19.978501741,941.0,,
T,2019-07-24 07:26:16,49.280297561,19.978518840,941.0,,
T,2019-07-24 07:26:24,49.280336117,19.978640210,940.8,,
T,2019-07-24 07:26:26,49.280326394,19.978682958,940.8,,
T,2019-07-24 07:26:30,49.280276773,19.978709612,941.4,,
T,2019-07-24 07:26:31,49.280270822,19.978697458,941.4,,
T,2019-07-24 07:26:35,49.280250035,19.978628224,941.6,,
T,2019-07-24 07:26:37,49.280241150,19.978601402,941.8,,
T,2019-07-24 07:26:38,49.280243497,19.978587236,941.8,,
T,2019-07-24 07:26:44,49.280214161,19.978514481,942.0,,
T,2019-07-24 07:26:52,49.280174514,19.978424460,943.6,,
T,2019-07-24 07:26:54,49.280166719,19.978404092,943.8,,
T,2019-07-24 07:26:56,49.280162193,19.978387831,944.0,,
T,2019-07-24 07:26:59,49.280137382,19.978359081,945.0,,
T,2019-07-24 07:27:02,49.280123636,19.978332678,945.4,,
T,2019-07-24 07:27:04,49.280125145,19.978331001,945.4,,
T,2019-07-24 07:27:06,49.280122044,19.978329325,945.6,,
